"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"357",356,"2022","SE","FT","Data Scientist",150000,"USD",150000,"US",0,"US","M"
"358",357,"2022","SE","FT","Data Scientist",211500,"USD",211500,"US",100,"US","M"
"366",365,"2022","SE","FT","Data Scientist",138600,"USD",138600,"US",100,"US","M"
"370",369,"2022","SE","FT","Data Scientist",170000,"USD",170000,"US",100,"US","M"
"371",370,"2022","SE","FT","Data Scientist",123000,"USD",123000,"US",100,"US","M"
"399",398,"2022","SE","FT","Data Scientist",215300,"USD",215300,"US",100,"US","L"
"400",399,"2022","SE","FT","Data Scientist",158200,"USD",158200,"US",100,"US","L"
"410",409,"2022","SE","FT","Data Scientist",180000,"USD",180000,"US",100,"US","M"
"417",416,"2022","SE","FT","Data Scientist",260000,"USD",260000,"US",100,"US","M"
"422",421,"2022","MI","FT","Data Science Manager",241000,"USD",241000,"US",100,"US","M"
"423",422,"2022","MI","FT","Data Science Manager",159000,"USD",159000,"US",100,"US","M"
"424",423,"2022","SE","FT","Data Scientist",180000,"USD",180000,"US",0,"US","M"
"425",424,"2022","SE","FT","Data Scientist",80000,"USD",80000,"US",0,"US","M"
"429",428,"2022","SE","FT","Data Scientist",140400,"USD",140400,"US",0,"US","L"
"445",444,"2022","SE","FT","Data Scientist",215300,"USD",215300,"US",0,"US","L"
"468",467,"2022","SE","FT","Data Scientist",104890,"USD",104890,"US",100,"US","M"
"470",469,"2022","SE","FT","Data Scientist",140000,"USD",140000,"US",100,"US","M"
"473",472,"2022","SE","FT","Data Scientist",220000,"USD",220000,"US",100,"US","M"
"474",473,"2022","SE","FT","Data Scientist",140000,"USD",140000,"US",100,"US","M"
"477",476,"2022","SE","FT","Data Scientist",185100,"USD",185100,"US",100,"US","M"
"479",478,"2022","MI","FT","Data Scientist",200000,"USD",200000,"US",100,"US","M"
"480",479,"2022","MI","FT","Data Scientist",120000,"USD",120000,"US",100,"US","M"
"487",486,"2022","SE","FT","Data Scientist",230000,"USD",230000,"US",100,"US","M"
"489",488,"2022","MI","FL","Data Scientist",100000,"USD",100000,"CA",100,"US","M"
"495",494,"2022","SE","FT","Data Scientist",100000,"USD",100000,"BR",100,"US","M"
"498",497,"2022","SE","FT","Data Scientist",165000,"USD",165000,"US",100,"US","M"
"510",509,"2022","MI","FT","Applied Data Scientist",157000,"USD",157000,"US",100,"US","L"
"516",515,"2022","MI","FT","Data Scientist",48000,"USD",48000,"RU",100,"US","S"
"517",516,"2022","SE","FT","Data Science Manager",152500,"USD",152500,"US",100,"US","M"
"520",519,"2022","SE","FT","Applied Data Scientist",380000,"USD",380000,"US",100,"US","L"
"525",524,"2022","MI","FT","Data Scientist",135000,"USD",135000,"US",100,"US","L"
"526",525,"2022","SE","FT","Applied Data Scientist",177000,"USD",177000,"US",100,"US","L"
"527",526,"2022","MI","FT","Data Scientist",78000,"USD",78000,"US",100,"US","M"
"539",538,"2022","MI","FT","Data Scientist",141300,"USD",141300,"US",0,"US","M"
"540",539,"2022","MI","FT","Data Scientist",102100,"USD",102100,"US",0,"US","M"
"551",550,"2022","SE","FT","Data Scientist",205300,"USD",205300,"US",0,"US","L"
"552",551,"2022","SE","FT","Data Scientist",140400,"USD",140400,"US",0,"US","L"
"553",552,"2022","SE","FT","Data Scientist",176000,"USD",176000,"US",100,"US","M"
"554",553,"2022","SE","FT","Data Scientist",144000,"USD",144000,"US",100,"US","M"
"559",558,"2022","SE","FT","Data Scientist",205300,"USD",205300,"US",0,"US","M"
"560",559,"2022","SE","FT","Data Scientist",140400,"USD",140400,"US",0,"US","M"
"570",569,"2022","SE","FT","Data Scientist",140000,"USD",140000,"US",100,"US","M"
"571",570,"2022","SE","FT","Data Scientist",210000,"USD",210000,"US",100,"US","M"
"572",571,"2022","SE","FT","Data Scientist",140000,"USD",140000,"US",100,"US","M"
"575",574,"2022","SE","FT","Data Scientist",210000,"USD",210000,"US",100,"US","M"
"576",575,"2022","SE","FT","Data Scientist",140000,"USD",140000,"US",100,"US","M"
"577",576,"2022","SE","FT","Data Scientist",210000,"USD",210000,"US",100,"US","M"
"588",587,"2022","SE","FT","Data Scientist",140000,"USD",140000,"US",100,"US","M"
"593",592,"2022","SE","FT","Data Scientist",230000,"USD",230000,"US",100,"US","M"
"594",593,"2022","SE","FT","Data Scientist",150000,"USD",150000,"US",100,"US","M"
"597",596,"2022","SE","FT","Data Scientist",210000,"USD",210000,"US",100,"US","M"
"599",598,"2022","MI","FT","Data Scientist",160000,"USD",160000,"US",100,"US","M"
"600",599,"2022","MI","FT","Data Scientist",130000,"USD",130000,"US",100,"US","M"
